names,state,statute_id,statute_name,estimated_amount,penalty_type,year,penalty_amt_min,penalty_amt_max,penalty_amt_fixed,penalty_other,notes,is_discretionary_text,has_min,has_max,has_fixed,has_numeric_amount,amount_type
Cassandra Fuentes,idaho,id_170,idaho code § 18-8007,$0 - $5000,leaving scene of accident resulting in injury or death,1984.0,,,,imprisonment up to 5 yrs; revoked license 1 yr,,False,False,False,False,False,none
Cassandra Fuentes,idaho,id_170,idaho code § 18-8007,$0 - $5000,leaving scene of accident resulting in injury or death,1986.0,,5000.0,,,,False,False,True,False,True,range
Cassandra Fuentes,idaho,id_170,idaho code § 18-8007,$0 - $5000,leaving scene of accident resulting in injury or death,1989.0,,5000.0,,,,False,False,True,False,True,range
Cassandra Fuentes,idaho,id_170,idaho code § 18-8007,$0 - $5000,leaving scene of accident resulting in injury or death,1990.0,,5000.0,,,,False,False,True,False,True,range
Cassandra Fuentes,idaho,id_170,idaho code § 18-8007,$0 - $5000,leaving scene of accident resulting in injury or death,1997.0,,5000.0,,,,False,False,True,False,True,range
Cassandra Fuentes,idaho,id_170,idaho code § 18-8007,$0 - $5000,leaving scene of accident resulting in injury or death,2000.0,,5000.0,,,,False,False,True,False,True,range
Cassandra Fuentes,idaho,id_170,idaho code § 18-8007,$0 - $5000,leaving scene of accident resulting in injury or death,2006.0,,5000.0,,,,False,False,True,False,True,range
Cassandra Fuentes,idaho,id_171,idaho code § 18-8010,$15,motor vehicles - surcharge added to all fines,1988.0,,,15.0,,"originally used to purchase interlock devices, amended to be used toward other probation programs in the county",False,False,False,True,True,fixed
Cassandra Fuentes,idaho,id_171,idaho code § 18-8010,$15,motor vehicles - surcharge added to all fines,1996.0,,,15.0,,,False,False,False,True,True,fixed
Cassandra Fuentes,idaho,id_171,idaho code § 18-8010,$15,motor vehicles - surcharge added to all fines,1998.0,,,15.0,,,False,False,False,True,True,fixed
Cassandra Fuentes,idaho,id_171,idaho code § 18-8010,$15,motor vehicles - surcharge added to all fines,2018.0,,,15.0,,,False,False,False,True,True,fixed
Cassandra Fuentes,idaho,id_171,idaho code § 18-8010,$15,motor vehicles - surcharge added to all fines,2019.0,,,15.0,,,False,False,False,True,True,fixed
Cassandra Fuentes,idaho,id_172,idaho code § 18-8103,$0 - $50000,terrorist control act – prohibited activities & penalties,1986.0,,,,no fine,,False,False,False,False,False,none
Cassandra Fuentes,idaho,id_172,idaho code § 18-8103,$0 - $50000,terrorist control act – prohibited activities & penalties,2002.0,,50000.0,,,fine added post 9/11,False,False,True,False,True,range
Cassandra Fuentes,idaho,id_173,idaho code § 18-8106,$0 - $50000,providing material support to terrorists,2002.0,,50000.0,,imprisonment 15 yrs max,March 2002; shortly after 9/11,False,False,True,False,True,range
Cassandra Fuentes,idaho,id_174,idaho code § 18-8201,$0 - $25000 plus restitution,money laundering & illegal investment - penalty & restitution,1992.0,,250000.0,,imprisonment 10 yrs max,fine may be twice as amt laundered (whichever is greater),False,False,True,False,True,range
Cassandra Fuentes,idaho,id_174,idaho code § 18-8201,$0 - $25000 plus restitution,money laundering & illegal investment - penalty & restitution,1993.0,,250000.0,,,,False,False,True,False,True,range
Cassandra Fuentes,idaho,id_175,idaho code § 18-8311,$0 - $5000,sex offender registration & notification act - penalties,1998.0,,5000.0,,imprisonment 5 yrs max,fail to register as sex offender,False,False,True,False,True,range
Cassandra Fuentes,idaho,id_175,idaho code § 18-8311,$0 - $5000,sex offender registration & notification act - penalties,2000.0,,5000.0,,,,False,False,True,False,True,range
Cassandra Fuentes,idaho,id_175,idaho code § 18-8311,$0 - $5000,sex offender registration & notification act - penalties,2006.0,,5000.0,,,,False,False,True,False,True,range
Cassandra Fuentes,idaho,id_175,idaho code § 18-8311,$0 - $5000,sex offender registration & notification act - penalties,2011.0,,5000.0,,,,False,False,True,False,True,range
Cassandra Fuentes,idaho,id_176,idaho code § 18-8318,cost of service,offender-paid psychosexual evaluation,1998.0,,,,cost of service,,False,False,False,False,False,none
Cassandra Fuentes,idaho,id_176,idaho code § 18-8318,cost of service,offender-paid psychosexual evaluation,1999.0,,,,cost of service,,False,False,False,False,False,none
Cassandra Fuentes,idaho,id_176,idaho code § 18-8318,cost of service,offender-paid psychosexual evaluation,2011.0,,,,cost of service,,False,False,False,False,False,none
Cassandra Fuentes,idaho,id_177,idaho code § 18-8326,$0 - $1000,sex offender notification act – misuse & vigilantism penalties,1998.0,,1000.0,,jail 1 yr max,,False,False,True,False,True,range
